Original Perfume and their clones,Original Brand,Original Brand and Name,Clone Brand,Owned ?,Community Comments,Personal Comments
Kilian Good Girl Gone Bad,Kilian,Maison Alhambra Kismet For Women,Maison Alhambra,,,
Kilian Intoxicated,Kilian,Paris Corner Emir You're Drugged,Paris Corner,,,
Kilian Single Malt,Kilian,The Dua Brand Spiritus Dei,The Dua Brand,,,
Kilian Vodka On The Rocks,Kilian,Maison Alhambra Kismet Moscow,Maison Alhambra,,,
Lacoste Blanc/ Lacoste L1212,Lacoste,Szindore Croc,Szindore,,,
,Lacoste,Zara 8.0 Zara,Zara,,,
,Lacoste,Armaf Hunter Intense,Armaf,,,
Lacoste Pour Femme,Lacoste,Maison Alhambra Coastal Pour Femme,Maison Alhambra,,,
Lalique Encre Noire,Lalique,Maison Alhambra Anchor Black,Maison Alhambra,,,
Lancome Idole L'Intense,Lancome,Zara Memoire Intense,Zara,,,
,Lancome,Maison Alhambra Pride,Maison Alhambra,,,
Lancome La Nuit Tresor A La Folie,Lancome,Maison Alhambra Nuit De Folie,Maison Alhambra,,,
Lancome La Vie Est Belle,Lancome,Maison Alhambra La Vita Bella,Maison Alhambra,,Recommended,
,Lancome,Lattafa Al Azraa,Lattafa,,Recommended,
,Lancome,Zara Red Vanilla,Zara,,,
,Lancome,Riffs Wonder of You Pour Femme,Riffs,,Recommended,
Lancome La Vie Est Belle Intensement,Lancome,Maison Alhambra La Vita Bella Intensa,Maison Alhambra,,,
,Lancome,Zara Majestic Opulence,Zara,,,
Lancome Oud Bouquet,Lancome,Lattafa Oud Mood,Lattafa,,Recommended,
Lanvin Eclat D'Arpege,Lanvin,Maison Alhambra Aura D'Eclat,Maison Alhambra,,,
Les Liquides Imaginaires Blanche Bête,Les Liquides Imaginaires,Genre Parfums Essence,Genre Parfums,,,
Louis Vuitton L'immensite,Louis Vuitton,Maison Alhambra Jean Lowe Immortal,Maison Alhambra,,,
Louis Vuitton Les Sables Roses,Louis Vuitton,Paris Corner Emir Lueur D’espoir Arena,Paris Corner,,,
Louis Vuitton Matiere Noire,Louis Vuitton,Maison Alhambra Jean Lowe Matiere,Maison Alhambra,,,
Louis Vuitton Nouveau Monde,Louis Vuitton,Maison Alhambra Jean Lowe Nouveau,Maison Alhambra,,,
,Louis Vuitton,Sterling Parfums Flavia Nouveau Ambre,Sterling Parfums,,,
Louis Vuitton Nuit de Feu,Louis Vuitton,Paris Corner Emir Lueur D’espoir Noche,Paris Corner,,,
Louis Vuitton Ombre Nomade,Louis Vuitton,Paris Corner Emir Lueur D’espoir Ambre,Paris Corner,,,
,Louis Vuitton,Maison Alhambra Jean Lower Ombre,Maison Alhambra,,,
,Louis Vuitton,Zimaya Night Shadow,Zimaya,,,
Louis Vuitton Pur Oud,Louis Vuitton,Maison Alhambra Amberley Pur Oud,Maison Alhambra,,,
Maison Francis Kurkdijan Baccarat Rouge 540,Maison Francis Kurkdijan,Lattafa Ana Abiyedh Rouge,Lattafa,Owned,Recommended,
,Maison Francis Kurkdijan,Dossier Ambery Saffron,Dossier,,Exact same,
,Maison Francis Kurkdijan,Al Haramain Amber Oud Rouge,Al Haramain,,Recommended,
,Maison Francis Kurkdijan,Armaf Club De Nuit Untold,Armaf,,Recommended,
,Maison Francis Kurkdijan,Szindore Royal 54,Szindore,,,
,Maison Francis Kurkdijan,Ariana Grande Cloud,Ariana Grande,,Recommended,Sweet cotton candy opening
,Maison Francis Kurkdijan,"The Woods Collection, Natural - Flame",The Woods Collection,,,
,Maison Francis Kurkdijan,Al Haramain Manege Rouge,Al Haramain,,Recommended,
,Maison Francis Kurkdijan,Maison Alhambra Baroque Rouge 540,Maison Alhambra,,,
,Maison Francis Kurkdijan,Burberry Her EDP,Burberry,,,
,Maison Francis Kurkdijan,Zara Night Pour Homme 5,Zara,,,
,Maison Francis Kurkdijan,Zara Red Temptation,Zara,,,
Maison Francis Kurkdijan Baccarat Rouge 540 Extrait,Maison Francis Kurkdijan,Maison Alhambra Baroque Rouge Extrait,Maison Alhambra,,Recommended,
,Maison Francis Kurkdijan,Al Haramain Amber Oud Ruby,Al Haramain,,Recommended,
,Maison Francis Kurkdijan,Lattafa Aura,Lattafa,,,
,Maison Francis Kurkdijan,Samy Andraus Fragrances Red Sapphire,Samy Andraus Fragrances,,,
Maison Francis Kurkdijan Grand Soir,Maison Francis Kurkdijan,Lattafa Pride Eternal Oud,Lattafa,,,
,Maison Francis Kurkdijan,Paris Corner North Stag Neuf IX,Paris Corner,,,
,Maison Francis Kurkdijan,Fomo Illusion D'un Soir,Fomo,,Gent Scents Recommended,
Maison Francis Kurkdijan Oud Satin Mood,Maison Francis Kurkdijan,Maison Alhambra Baroque Satin Oud,Maison Alhambra,,,
,Maison Francis Kurkdijan,Paris Corner Ministry of Oud Oud Satin,Paris Corner,,,
Maison Margiela Replica By the Fireplace,Maison Margiela,Paris Corner Emir Campfire,Paris Corner,,85% similiar,
,Maison Margiela,Lattafa Raghba Wood Intense,Lattafa,,Recommended(close to BTF than Ameer Al Oud Intense Oud),
,Maison Margiela,Lattafa Ameer Al Oudh Intense Oud,Lattafa,Owned,"Recommended(not exact clone, but sweet DNA similiar, 60%)",
,Maison Margiela,Zara Ebony Wood,Zara,,,
,Maison Margiela,Zara Bohemian Oud,Zara,,,
Maison Margiela Replica Jazz Club,Maison Margiela,Dossier Woody Tobacco,Dossier,,,
,Maison Margiela,Paris Corner North Stag Phenomenal Quatorze XIV,Paris Corner,,,
Mancera Aoud Vanille,Mancera,Maison Alhambra Oud Vanille,Maison Alhambra,,,
Mancera Cedrat Boise,Mancera,Paris Corner Emir Cedrat Essence,Paris Corner,,,
,Mancera,Arabiyat Prestige Ishatar Citrrus Oud,Arabiyat Prestige,,,
Mancera Instant Crush,Mancera,Paris Corner Emir Super Crush,Paris Corner,,,
,Mancera,Monarch Instant Gold Crush,Monarch,,,
Mancera Red Tobacco,Mancera,Paris Corner Emir Wild and Tobacco,Paris Corner,,,
,Mancera,Maison Alhambra Instant Tobacco,Maison Alhambra,,,
Mancera Roses Vanille,Mancera,Paris Corner Emir Vanilla & Roses,Paris Corner,,,
,Mancera,Lattafa Ajwad,Lattafa,,,
,Mancera,Zara Roses Gourmand,Zara,,,
Mancera Tonka Cola,Mancera,Paris Corner Emir Cherry Cola,Paris Corner,,,
Marc-Antoine Barrois Ganymede,Marc-Antoine Barrois,Paris Corner Emir Celestial,,,,
Memo Paris African Leather,Memo Paris,Maison Alhambra Afro Leather,Maison Alhambra,,,
,Memo Paris,Paris Corner African Leopard,Paris Corner,,,
Memo Paris Irish Leather,Memo Paris,Maison Alhambra Dublin Leather,Maison Alhambra,,,
,Memo Paris,Lattafa Ana Abiyedh Leather,Lattafa,,Slight Twist,
Memo Paris Russian Leather,Memo Paris,Maison Alhambra Russe Leather,Maison Alhambra,,,
Mercedez Benz Select Night,Mercedes Benz,Armaf Odyssey Homme,Armaf,,,
Mont Blanc Explorer,Mont Blanc,Maison Alhambra Encode,Maison Alhambra,,,
Mont Blanc Explorer Ultra Blue,Mont Blanc,Maison Alhambra Encode Blue,Maison Alhambra,,,
Mont Blanc Legend Night,Mont Blanc,Maison Alhambra Expose Intense,Maison Alhambra,,,
Mont Blanc Legend Spirit,Mont Blanc,Maison Alhambra Expose Blanc,Maison Alhambra,,,
Montale Intense Cafe,Montale,Fragrance World Mocha Wood,Fragrance World,,Gent Scents Recommended,
Montale Nepal Aoud,Montale,Lattafa 24K Gold,Lattafa,,,
Montale Rose Night,Montale,Lattafa Shams Al Shampoos Rose Taifi,Lattafa,,,
Montale Roses Musk,Montale,Maison Alhambra Musk Vanille,Maison Alhambra,,,
Mugler A*Men Pure Havane,Mugler,Reyane Tradition Insurrection II Wild,Reyane Tradition,,,
Narciso Rodriguez For Her,Narciso Rodriguez,Maison Alhambra Narissa For Her,Maison Alhambra,,,
Narciso Rodriguez Narciso,Narciso Rodriguez,Maison Alhambra Narissa,Maison Alhambra,,,
Narciso Rodriguez Narciso Rouge,Narciso Rodriguez,Maison Alhambra Narissa Rouge,Maison Alhambra,,,
Nautica Voyage,Nautica,Barrett Fragrances Ocean Odyssey,Barrett Fragrances,,,
Nishane Ani,Nishane,Lattafa Nasheet,Lattafa,,Aromatix recommended,
Nishane Hacivat,Nishane Hacivat,Afnan Supremacy Not Only Intense,Afnan,,"Drydown similiar, a bit of Aventus + Hacivat",
Orto Parisi Megamare,Orto Parisi,Maison Alhambra Megara,Maison Alhambra,,,
Orto Parisi Terroni,Orto Parisi,Maison Alhambra Terra,Maison Alhambra,,,
,Orto Parisi,Lattafa Maahir Black,Maison Alhambra,,,
Paco Rabanne 1 Million,Paco Rabanne,Armaf Club De Nuit Man,Armaf,,,
,Paco Rabanne,Zara Uomo,Zara,,Toned downed version,
,Paco Rabanne,Lattafa Arqus Private One,Lattafa,,,
,Paco Rabanne,Halloween Man,Halloween,,,
Paco Rabanne 1 Million Lucky,Paco Rabanne,Ard Al Zaafaran Mousuf,Ard Al Zaafaran,,"Inspired, similar for the 1st hour, turn sour",
Paco Rabanne Black XS,Paco Rabanne,Zara Man Gold,Zara,,Top notes a bit diff,
Paco Rabanne Black XS L'exces,Paco Rabanne,Swiss Arabian Shaghaf Men,Swiss Arabian,,,
Paco Rabanne Invictus,Paco Rabanne,Maison Alhambra Victorioso,Maison Alhambra,,,
Paco Rabanne Invictus Aqua,Paco Rabanne,Rasasi Hawas,Rasasi,,Recommended,
,Paco Rabanne,Frank Olivier Sunrise Urban Ice,Frank Olivier,,,
,Paco Rabanne,Mont Blanc Legend Spirit,Mont Blanc,,Recommended,
,Paco Rabanne,Zara Seoul Summer,Zara,,,
,Paco Rabanne,Zara Man Blue Spirit,Zara,,,
Paco Rabanne Invictus Legend,Paco Rabanne,Maison Alhambra Victorioso Legend,Maison Alhambra,,,
Paco Rabanne Invictus Victory,Paco Rabanne,Maison Alhambra Victorioso Victory,Maison Alhambra,,,
Paco Rabanne Olympea Blossom,Paco Rabanne,Maison Alhambra Olivia Blossom,Maison Alhambra,,,
Paco Rabanne Olympea,Paco Rabanne,Lattafa La Muse Angel,Lattafa,,,
,Paco Rabanne,Maison Alhambra Olivia,Maison Alhambra,,,
,Paco Rabanne,Paris Corner Pendora Scents Octavia Demure,Paris Corner,,,
Paco Rabanne Phantom,Paco Rabanne,Lattafa Hayaati Al Maleky,Lattafa,,,
Pana Dora Swedish Wood,Pana Dora,Lattafa Al Noble Ameer,Lattafa,,,
Pana Dora Velvet Irish,Pana Dora,Lattafa Al Noble Wazeer,Lattafa,,,
Pana Dora XVI,Pana Dora,Lattafa Al Noble Safeer,Lattafa,,,
Parfums de Marly Carlisle,Parfums de Marly,Berouj Perladour,Berouj,,,
,Parfums de Marly,Maison Alhambra Cassius,Maison Alhambra,,,
,Parfums de Marly,Ard Al Zaafaran Wafa,Ard Al Zaafaran,,PDM Carlisle x Kilian Black Phantom,
,Parfums de Marly,Ard Al Zaafaran Tafakhar,Ard Al Zaafaran,,,
Parfums de Marly Delina,Parfums de Marly,Maison Alhambra Delilah,Maison Alhambra,,,
,Parfums de Marly,Zara Fashionably London,Zara,,,
Parfums de Marly Delina Exclusif,Parfums de Marly,Armaf Club De Nuit White Imperiale,Armaf,,,
Parfums de Marly Galloway,Parfums de Marly,Lalique White,Lalique,,,
Parfums de Marly Godolphin,Parfums de Marly,Maison Alhambra Galatea,Maison Alhambra,,,
Parfums de Marly Herod,Parfums de Marly,Maison Alhambbra Hercules,Maison Alhambra,,,
Parfums de Marly Kalan,Parfums de Marly,Maison Alhambra Kalos,Maison Alhambra,,,
Parfums de Marly Layton,Parfums de Marly,Genre Parfums,Amber Oud Exclusif,,"Recommended, closer clone than Detour Noir, confirmed not
Haramain by themself, unknown brand copied Haramain design",
,Parfums de Marly,Paris Corner North Stag Deux,Paris Corner,,Aromatix: the new best clone,
,Parfums de Marly,Al Haramain Detour Noir,Al Haramain,,"70% Similiar, flater version, lacking performance",
,Parfums de Marly,Maison Alhambra Leyden,Maison Alhambra,,,
,Parfums de Marly,"The Woods Collection, Natural - Dusk",The Woods Collection,,The best Layton clone,
,Parfums de Marly,Luxudor Loyal Agar,Luxudor,,,
,Parfums de Marly,Harumme Lay On Me,Harumme,,,
Parfums de Marly Pegasus,Parfums de Marly,Armaf Craze,Armaf,Owned,,
,Parfums de Marly,Maison Alhambra Perseus,Maison Alhambra,,,
Parfums de Marly Pegasus Exclusif,Parfums de Marly,Maison Alhambra Perseus Exclusif,Maison Alhambra,,,
Parfums de Marly Sedley,Parfums de Marly,Lattafa Maahir Legacy,Lattafa,,,
Penhaligon The Blazing Mr.Sam,Penhaligon,Fragrance World Apex,Fragrance World,,,
Prada L'Homme,Prada,Ajmal Eovke Gold,Ajmal,,,
Rasasi Hawas,Rasasi,Lattafa Hayaati,Lattafa,,,
,Rasasi,Rassai Nafeis Al Shaghaf,Rasasi,,Fresh version of hawas,
Robert Cavalli Deep Desire,Robert Cavalli,Maison Alhambra Le Carmine Pour Femme,Maison Alhambra,,,
Roja Parfums Britannia,Roja Parfums,Ard Al Zaafaran Shafaq,Ard Al Zaafaran,,,
Roja Parfums Elysium,Roja Parfums,Alexandria Fragrances Zion,Alexandria Fragrances,,,
,Roja Parfums,Fragance World Imperium,Fragrance World,,,
,Roja Parfums,Fragrance World - Divin Asylum,Fragrance World,,Closest Dupe,
,Roja Parfums,Paris Corner Emir Trillium,Paris Corner,,,
,Roja Parfums,The Dua Brand Supernova Attar,The Dua Brand,,Heavy oil concentration,
Roja Parfums Oceania,Roja Parfums,Makin' Scents Triton,Makin' Scents,,Recommended,
"Rosendo Mateu Nº 5 Floral, Amber, Sensual Musk",Rosendo Mateu Olfactive Expressions,Lattafa Pride Ishq Al Shuyukh Gold,Lattafa,,"Not as Floral, close to YSL BabyCat than Rosendo Mateu Nº 5 ",
Serge Lutens Ambre Sultan,Serge Lutens,Lattafa Niche Oud,Armaf,,,
Shiseido Zen,Shiseido,Maison Alhambra Zen,Maison Alhambra,,,
Thameen Carved Oud,Thameen,Maison Alhambra Zaffiro Crafted Oud,Maison Alhambra,,,
Thameen Regent Leather,Thameen,Maison Alhambra Zaffiro Regale,Maison Alhambra,,,
Tiziana Terenzi Kirke,Tiziana Terenzi,Maison Alhambra Karat,Maison Alhambra,,,
,Tiziana Terenzi,Lattafa Confidential Private Gold,Lattafa,,,
Tom Ford Bitter Peach,Tom Ford,Maison Alhambra Bright Peach,Maison Alhambra,,,
Tom Ford Black Orchid,Tom Ford,Ard Al Zaafaran Oud 24 hrs,Ard Al Zaafaran,,Recommended,
,Tom Ford,Maison Alhambra Black Origami,Maison Alhambra,,,
Tom Ford Ebene Fume,Tom Ford,Maison Alhambra Ebony Fume,Maison Alhambra,,,
Tom Ford Fucking Fabulous,Tom Ford,Maison Alhambra Fabulo Intense,Maison Alhambra,,,
Tom Ford Lost Cherry,Tom Ford,Maison Alhambra Lovely Cherie,Maison Alhambra,,,
,Tom Ford,Afnan Turathi Red,Afnan,,,
,Tom Ford,Zara Cherry Smoothie,Zara,,,
,Tom Ford,Dossier Ambery Cherry,Dossier,,,
,Tom Ford,Chez Pierre Fiction,Chez Pierre,,,
Tom Ford Mandarino Di Almafi,Tom Ford,Just Jack Almafi Coast,Just Jack,,,
Tom Ford Metallique,Tom Ford,Dossier Powdery Hawthorn,Dossier,,,
Tom Ford Nerli Portofino,Tom Ford,Maison Alhambra Porto Neroli,Maison Alhambra,,,
,Tom Ford,Al Haramain Portfolio Neroli Canvas,Al Haramain,,Stronger than original,
Tom Ford Noir De Noir,Tom Ford,Armaf Club De Nuit Intense Women,Armaf,,,
Tom Ford Noir Extreme,Tom Ford,Armaf Odyssey Homme,Armaf,,,
,Tom Ford,Just Jack Noir Endurance,Just Jack,,First 20 min harsh,
Tom Ford Ombre Leather,Tom Ford,Afnan Rare Carbon,Afnan,,Recommended,
,Tom Ford,Maison Alhambra Amber & Leather,Maison Alhambra,,,
Tom Ford Oud Wood,Tom Ford,Afnan Supremacy Gold,Afnan,,Inspired,
,Tom Ford,Maison Alhambra Zaffiro Crafted Oud,Maison Alhambra,,"Recommended, Thameen Carved Oud dupe, which is better 
alternative than Oud Wood",
,Tom Ford,Maison Alhambra Woody Oud,Maison Alhambra,,Recommended,
Tom Ford Rose Prick,Tom Ford,Maison Alhambra Rose Petals,Maison Alhambra,,,
Tom Ford Soleil Blanc,Tom Ford,Zara Soleil Decade,Zara,,,
Tom Ford Tobacco Vanille,Tom Ford,Al Haramain Amber Oud,Al Haramain,,,
,Tom Ford,Maison Alhambra Tobacco Touch,Maison Alhambra,,The best Clone,
,Tom Ford,Paris Corner Charuto Tobacco Vanille,Paris Corner,,,
,Tom Ford,Arad Al Zaafaran Wafa,Ard Al Zaafaran,,,
,Tom Ford,Zara Warm Black,Zara,,,
,Tom Ford,Just Jack Tobacco Leaf,Just Jack,,,
Tom Ford Tuscan Leather,Tom Ford,Rasasi La Yuqawam,Rasasi,,May be better than Tom Ford (some opinion),
,Tom Ford,Lattafa Velvet Oud,Lattafa,,"inspired, some twist",
,Tom Ford,Maison Alhambra Toscano Leather,Maison Alhambra,,"95% close, Aromatix: most refined clonse of Tuscan Leather",
Tom Ford Velvet Orchid,Tom Ford,Just Jack Wild Orchid,Just Jack,,,
Valentino Uomo Intense,Valentino,Saint Hilaire Ambre Chic,Saint Hilaire,,,
,Valentino,Milestone Perfumes Valencia Uomo Intense,Milestone Perfumes,,,
Valentino Voce Viva,Valentino,Maison Alhambra Voices,Maison Alhambra,,,
Versace Bright Crystal,Versace,Maison Alhambra Versencia Crystal,Maison Alhambra,,,
Versace Crystal Noir,Versace,Maison Alhambra Versencia Noir,Maison Alhambra,,,
Versace Eau Fraiche,Versace,Armaf Aura Fresh,Armaf,,Recommended (90% similar),
Versace Eros,Versace,Guess Los Angeles 1981,Guess,,Recommended(Inspired),
,Versace,Maison Alhambra Versencia Oro,Maison Alhambra,,Recommended,Close to EDT
,Versace,Lattafa Blue Sapphire,Lattafa,,,
,Versace,Szindore Amayas,Szindore,,,
Versace Eros Flame,Versace,Maison Alhambra Versencia Rouge,Maison Alhambra,,,
,Versace,Fragance World Des Tentacious Flame,Fragrance World,,,
Versace Pour Homme,Versace,Rasasi Hatem,Rasasi,,,
Versace Versense,Versace,Maison Alhambra Versencia Essence,Maison Alhambra,,,
Victoria Secret Bombshell EDP,Victoria Secret,Maison Alhambra Pink Shimmer Secret,Maison Alhambra,,,
,Victoria Secret,Zara Orchid,Zara,,,
Victoria Secret Bombshell Intense,Victoria Secret,Maison Alhambra Pink Shimmer Secret Intense,Maison Alhambra,,,
Victoria Secret Bombshell Oud,Victoria Secret,Maison Alhambra Pink Shimmer Secret Oud,Maison Alhambra,,,
Victoria Secret Very Sexy Night,Victoria Secret,Maison Alhambra Very Velvet Noir,Maison Alhambra,,,
Victoria Secret Very Sexy Orchid,Victoria Secret,Maison Alhambra Very Velvet Orchid,Maison Alhambra,,,
Victoria Secret Very Sexy Rouge,Victoria Secret,Maison Alhambra Very Velvet Rouge,Maison Alhambra,,,
Victoria Secret Very Sexy Sea,Victoria Secret,Maison Alhambra Very Velvet Aqua,Maison Alhambra,,,
Viktor & Rolf Flowerbomb,Viktor & Rolf,Maison Alhambra Victoria Flower,Maison Alhambra,,,
Viktor & Rolf SpiceBomb,Viktor & Rolf,Remy Latour Cigar Black Wood,Remy Latour,,,
Viktor & Rolf SpiceBomb Extreme,Viktor & Rolf,Bvlgari Man In Black,Bvlgari,,,
,Viktor & Rolf,Cremo Spice & Black Vanilla,Cremo,,,
,Viktor & Rolf,Smart Collection 410,Smart Collection,,,
Xerjoff 1861 Naxos,Xerjoff,Perfume Parlour Greek Island 1950,Perfume Parlour,,,
Xerjoff Accento,Xerjoff,Maison Alhambra Philos Centro,Maison Alhambra,,,
Xerjoff Erba Pura,Xerjoff,Lattafa Ana Abiyedh,Lattafa,,,
,Xerjoff,Maison Alhambra Philos Pura,Maison Alhambra,,,
Xerjoff More Than Words,Xerjoff,Lattafa Maahir Legacy,Lattafa,,,
Xerjoff Naxos,Xerjoff,Paris Corner Voux Elegante,Paris Corner,,,
Xerjoff Opera,Xerjoff,Maison Alhambra Philos Opus Noir,Maison Alhambra,,,
Xerjoff Wardasina,Xerjoff,Maison Alhambra Philos Rosso,Maison Alhambra,,,
Yves Saint Lauren (YSL) BabyCat,Yves Saint Lauren (YSL),Lattafa Pride Ishq Al Shuyukh Gold,Lattafa,,,
,Yves Saint Lauren (YSL),Arabiyat Prestige Nayel Queen,Arabiyat Prestige,,,
Yves Saint Lauren (YSL) Black Opium,Yves Saint Lauren (YSL),Maison Alhambra Opera Noir,Maison Alhambra,,,
,Yves Saint Lauren (YSL),Zara Gardenia,Zara,,,
,Yves Saint Lauren (YSL),Dossier Ambery Vanilla,Dossier,,,
Yves Saint Lauren (YSL) L'Homme L'Intense,Yves Saint Lauren (YSL),Zara Night Pour Homme 3,Zara,,,
Yves Saint Lauren (YSL) La Nuit De L'Homme,Yves Saint Lauren (YSL),Ted Lapidus Poker Face,Ted Lapidus,,,
,Yves Saint Lauren (YSL),Guess Seduction Homme Blue,Guess,,,
Yves Saint Lauren (YSL) La Nuit De L'Homme Blue Electrique,Yves Saint Lauren (YSL),Fragrance World Jack Of Clubs,Fragrance World,,,
Yves Saint Lauren (YSL) Libre,Yves Saint Lauren (YSL),Maison Alhambra Libbra,Maison Alhambra,,,
Yves Saint Lauren (YSL) Libre Intense,Yves Saint Lauren (YSL),Lattafa Tharwah Gold,Lattafa,,,
,Yves Saint Lauren (YSL),Sterling Parfums Flavia Excellus Next,Sterling Parfums,,,
,Yves Saint Lauren (YSL),Zara Golden Decade,Zara,,,
Yves Saint Lauren (YSL) Mon Paris,Yves Saint Lauren (YSL),Zara Vibrant Leather For Her,Zara,,,
,Yves Saint Lauren (YSL),Maison Alhambra My Party,Maison Alhambra,,,
Yves Saint Lauren (YSL) Tuxedo,Yves Saint Lauren (YSL),Rochas Moustache EDP,Rochas,,Recommended,
,Yves Saint Lauren (YSL),Maison Alhambra The Tux,Maison Alhambra,,"Best clone, better than Moustache",
,Yves Saint Lauren (YSL),Maison Alhambra Kismet for Men,Maison Alhambra,Owned,,
,Yves Saint Lauren (YSL),Ard Al Zaafaran Sada,Ard Al Zaafaran,,Very Close,
,Yves Saint Lauren (YSL),Afnan Turathi Brown,Afnan,,Recommended,
Yves Saint Lauren (YSL) Y,Yves Saint Lauren (YSL),Lattafa Fakhar Silver,Lattafa,,Recommended,
,Yves Saint Lauren (YSL),Lattafa Sheikh Al Shuyukh Final Edition,Lattafa,,Best by Aromatics,
,Yves Saint Lauren (YSL),Szindore WHY,Szindore,,"Recommended, Malaysia brand",
,Yves Saint Lauren (YSL),Armaf Odyssey Mega,Armaf,,Recommended (EDP clone),
,Yves Saint Lauren (YSL),Lattafa Malik Al Tayoor,Lattafa,,EDP Clone ?,
,Yves Saint Lauren (YSL),Maison Alhambra Yeah!,Lattafa,,,
,Yves Saint Lauren (YSL),Paris Corner Zara Prive WHY,Paris Corner,,really close top notes,
,Yves Saint Lauren (YSL),Fragrance World F Le Parfum,Fragrance World,,,
